Year,TotalNumberOfCows
1961,0.991636154
1962,1.003996789
1963,1.017806902
1964,1.036581122
1965,1.061390647
1966,1.081383748
1967,1.105787084
1968,1.121581927
1969,1.1276651070000001
1970,1.139197262
1971,1.154195753
1972,1.176863047
1973,1.195776638
1974,1.223503469
1975,1.244558026
1976,1.254986262
1977,1.258040558
1978,1.258515472
1979,1.263253223
1980,1.269178358
1981,1.280966348
1982,1.296099355
1983,1.306459554
1984,1.315567322
1985,1.324158411
1986,1.335262072
1987,1.339344022
1988,1.34737985
1989,1.367683805
1990,1.377032074
1991,1.382941073
1992,1.392526189
1993,1.396205364
1994,1.411938345
1995,1.430729923
1996,1.441744395
1997,1.403307705
1998,1.412659148
1999,1.418413263
2000,1.424516699
2001,1.421787149
2002,1.428496401
2003,1.439192859
2004,1.452448648
2005,1.465365199
2006,1.479259379
2007,1.484747793
2008,1.49811111
2009,1.480299841
2010,1.480327521
2011,1.481510177
2012,1.49119467
2013,1.494823779
2014,1.502392994
2015,1.514932993
2016,1.533860153
2017,1.539162585
2018,1.549235818
2019,1.566575383
2020,1.582337318
2021,1.593142278
2022,1.61290575
